avaliacao,empresa,tamanho,ano_fundacao,tipo_propriedade,industria,setor,receita,senioridade,cargo,salario_medio,cidade_vaga,estado_vaga,pais_vaga,cidade_sede,pais_sede,escala_tamanho,remoto,latitude,longitude,nome_estado_vaga
4.2,LSQ,51 to 200 employees,1996.0,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),,Data scientist,154.0,Orlando,FL,United States of America,Orlando,United States of America,Pequeno,False,28.498821,-80.58248,Florida
3.8,MIT Lincoln Laboratory,1001 to 5000 employees,1951.0,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,,Data scientist,154.0,Lexington,MA,United States of America,Lexington,United States of America,Grande,False,42.4558,-71.2193,Massachusetts
4.5,Kingfisher Systems,51 to 200 employees,2005.0,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),,Data scientist,154.0,McLean,VA,United States of America,Falls Church,United States of America,Pequeno,False,,,
2.8,Formation,51 to 200 employees,2015.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,Data scientist,154.0,San Francisco,CA,United States of America,San Francisco,United States of America,Pequeno,False,37.775,-122.4183,California
3.8,Analysis Group,1001 to 5000 employees,1981.0,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),,Data scientist,103.0,Boston,MA,United States of America,Boston,United States of America,Grande,False,42.357603,-71.068432,Massachusetts
3.9,Novartis,10000+ employees,1996.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,Data scientist,103.0,Cambridge,MA,United States of America,Basel,Switzerland,Corporação,False,42.377045,-71.125611,Massachusetts
5.0,Cohere Health,1 to 50 employees,2019.0,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,,Data scientist,103.0,Boston,MA,United States of America,Boston,United States of America,Pequeno,False,42.357603,-71.068432,Massachusetts
4.8,Acuity Insurance,1001 to 5000 employees,1925.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),Senior,Data scientist,103.0,Sheboygan,WI,United States of America,Sheboygan,United States of America,Grande,False,43.740981,-87.724667,Wisconsin
3.6,Chef,201 to 500 employees,2008.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),,Data engineer,103.0,United States,,,Seattle,United States of America,Médio,False,,,
3.3,Puget Sound Energy,1001 to 5000 employees,1999.0,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),Junior,Data scientist,103.0,Bothell,WA,United States of America,Bellevue,United States of America,Grande,False,47.749692,-122.2159,Washington
2.7,Sandhills Global,1001 to 5000 employees,1978.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),,outro,103.0,Lincoln,NE,United States of America,Lincoln,United States of America,Grande,False,40.8169,-96.7103,Nebraska
2.7,A Place for Mom,501 to 1000 employees,2000.0,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,Data scientist,103.0,Overland Park,KS,United States of America,New York,United States of America,Médio,False,38.992488,-94.674769,Kansas
